GHs,PLs,Ces,GTs,Aas,CBMs,Groups
16.48350928,2.06043866,8.991005061,8.429067245,1.498500844,10.4895059,Flavobacteriaceae
20.42209373,2.062837751,6.807364578,12.78959406,1.443986426,15.26499936,Flavobacteriaceae
11.80598009,0.643962551,5.366354588,11.80598009,1.287925101,8.156858974,Flavobacteriaceae
11.49740718,1.512816735,5.446140245,17.54867412,1.512816735,6.353830286,Flavobacteriaceae
58.67938523,6.454732375,25.8189295,26.40572335,7.041526227,15.84343401,Flavobacteriaceae
29.56235884,5.439474027,10.16945144,15.3724266,0.945995483,7.567963863,Flavobacteriaceae
4.120007581,0.95077098,8.240015162,20.91696156,0.31692366,6.655396861,Flavobacteriaceae
21.6888211,0.647427495,7.769129945,16.83311488,1.294854991,8.092843693,Flavobacteriaceae
12.94863019,1.394467867,7.370758726,11.15574294,1.394467867,7.769178117,Flavobacteriaceae
31.86268602,4.952749122,14.36297246,9.410223333,3.301832748,10.40077316,Flavobacteriaceae
13.12009372,1.481300904,8.252962179,12.27363606,1.692915319,7.618118934,Flavobacteriaceae
9.397321575,2.819196473,5.325148893,18.79464315,1.25297621,8.457589418,Flavobacteriaceae
10.21005753,1.047185388,7.06850137,16.49316986,1.047185388,6.283112329,Flavobacteriaceae
18.06893903,0.892293285,8.922932852,8.253712888,2.453806534,7.584492924,Flavobacteriaceae
24.45890607,1.187325537,9.973534514,10.21099962,2.84958129,9.973534514,Flavobacteriaceae
23.33440813,1.212177046,9.091327843,10.60654915,1.818265569,6.36392949,Flavobacteriaceae
22.85163757,0.457032751,10.05472053,9.59768778,1.59961463,6.855491271,Flavobacteriaceae
35.08797921,2.534131832,11.11119342,7.992261931,1.364532525,7.602395495,Flavobacteriaceae
25.36154225,2.917699551,6.284275956,10.99748292,2.24438427,11.89523663,Flavobacteriaceae
35.9914289,2.05665308,7.71244905,11.82575521,2.313734715,4.370387795,Flavobacteriaceae
16.50293885,0.589390673,5.304516059,16.79763419,1.178781346,6.777992742,Flavobacteriaceae
16.05065713,2.203031371,3.776625208,17.62425097,1.888312604,9.441563019,Flavobacteriaceae
16.39348528,1.821498365,7.54620751,21.07733822,1.040856208,8.066635614,Flavobacteriaceae
23.07479789,1.559107966,6.860075049,14.96743647,1.559107966,10.91375576,Flavobacteriaceae
24.48658325,5.048780051,10.3499991,19.4378032,0.757317008,10.3499991,Flavobacteriaceae
9.523402674,3.809361069,5.714041604,17.95841647,1.088388877,7.0745277,Flavobacteriaceae
13.67110066,5.185589906,9.428345283,17.67814741,0.942834528,8.721219387,Flavobacteriaceae
12.19553597,0.32960908,5.603354366,17.79889034,0.988827241,6.921790687,Flavobacteriaceae
16.71806976,0.59707392,7.463423998,18.80782847,1.19414784,8.359034878,Flavobacteriaceae
33.68520488,3.803168293,8.692956098,9.77957561,1.448826016,13.40164065,Flavobacteriaceae
12.24792113,3.652888758,6.876025898,9.2396598,2.363633902,4.297516186,Proteobacteria
3.820413078,1.528165231,6.112660925,17.57390016,2.292247847,0,Proteobacteria
5.634280937,0.704285117,7.39499373,4.577853261,2.46499791,3.873568144,Proteobacteria
7.164757821,1.475097198,4.425291595,6.321845136,2.950194397,2.107281712,Proteobacteria
4.129489489,0.869366208,3.042781728,7.389612769,1.956073968,4.781514145,Proteobacteria
